#Beijing
r3---sn-2x3eln7e.gvt1.com	203.208.43.213
r4---sn-2x3eln7e.gvt1.com	203.208.43.214
r5---sn-2x3eln7e.gvt1.com	203.208.43.215
r6---sn-2x3eln7e.gvt1.com	203.208.43.216
r7---sn-2x3eln7e.gvt1.com	203.208.43.217
r8---sn-2x3eln7e.gvt1.com	203.208.43.218
r9---sn-2x3eln7e.gvt1.com	203.208.43.219
r10---sn-2x3eln7e.gvt1.com	203.208.43.220
r11---sn-2x3eln7e.gvt1.com	203.208.43.221
r12---sn-2x3eln7e.gvt1.com	203.208.43.222
r13---sn-2x3eln7e.gvt1.com	203.208.43.223
r14---sn-2x3eln7e.gvt1.com	203.208.43.224
r15---sn-2x3eln7e.gvt1.com	203.208.43.225
r16---sn-2x3eln7e.gvt1.com	203.208.43.226
r17---sn-2x3eln7e.gvt1.com	203.208.43.227
r18---sn-2x3eln7e.gvt1.com	203.208.43.228

r1---sn-2x3eln7l.gvt1.com	203.208.39.19
r2---sn-2x3eln7l.gvt1.com	203.208.39.20
r3---sn-2x3eln7l.gvt1.com	203.208.39.21
r4---sn-2x3eln7l.gvt1.com	203.208.39.22
r5---sn-2x3eln7l.gvt1.com	203.208.39.23
r6---sn-2x3eln7l.gvt1.com	203.208.39.24
r7---sn-2x3eln7l.gvt1.com	203.208.39.25
r8---sn-2x3eln7l.gvt1.com	203.208.39.26
r9---sn-2x3eln7l.gvt1.com	203.208.39.27
r10---sn-2x3eln7l.gvt1.com	203.208.39.28
r11---sn-2x3eln7l.gvt1.com	203.208.39.29
r12---sn-2x3eln7l.gvt1.com	203.208.39.30
r13---sn-2x3eln7l.gvt1.com	203.208.39.31
r14---sn-2x3eln7l.gvt1.com	203.208.39.32
r15---sn-2x3eln7l.gvt1.com	203.208.39.33
r16---sn-2x3eln7l.gvt1.com	203.208.39.34
r17---sn-2x3eln7l.gvt1.com	203.208.39.35
r18---sn-2x3eln7l.gvt1.com	203.208.39.36

r1---sn-2x3eln7s.gvt1.com	203.208.43.16
r2---sn-2x3eln7s.gvt1.com	203.208.43.17
r3---sn-2x3eln7s.gvt1.com	203.208.43.18
r4---sn-2x3eln7s.gvt1.com	203.208.43.19
r5---sn-2x3eln7s.gvt1.com	203.208.43.20
r6---sn-2x3eln7s.gvt1.com	203.208.43.21
r7---sn-2x3eln7s.gvt1.com	203.208.43.22
r8---sn-2x3eln7s.gvt1.com	203.208.43.23
r9---sn-2x3eln7s.gvt1.com	203.208.43.24
r10---sn-2x3eln7s.gvt1.com	203.208.43.25
r11---sn-2x3eln7s.gvt1.com	203.208.43.26
r12---sn-2x3eln7s.gvt1.com	203.208.43.27

r1---sn-2x3eln7z.gvt1.com	203.208.43.48
r2---sn-2x3eln7z.gvt1.com	203.208.43.49
r3---sn-2x3eln7z.gvt1.com	203.208.43.50
r4---sn-2x3eln7z.gvt1.com	203.208.43.51
r5---sn-2x3eln7z.gvt1.com	203.208.43.52
r6---sn-2x3eln7z.gvt1.com	203.208.43.53
r7---sn-2x3eln7z.gvt1.com	203.208.43.54
r8---sn-2x3eln7z.gvt1.com	203.208.43.55
r9---sn-2x3eln7z.gvt1.com	203.208.43.56
r10---sn-2x3eln7z.gvt1.com	203.208.43.57
r11---sn-2x3eln7z.gvt1.com	203.208.43.58
r12---sn-2x3eln7z.gvt1.com	203.208.43.59

r1---sn-2x3eln76.gvt1.com	203.208.39.83
r2---sn-2x3eln76.gvt1.com	203.208.39.84
r3---sn-2x3eln76.gvt1.com	203.208.39.85
r4---sn-2x3eln76.gvt1.com	203.208.39.86
r5---sn-2x3eln76.gvt1.com	203.208.39.87
r6---sn-2x3eln76.gvt1.com	203.208.39.88
r7---sn-2x3eln76.gvt1.com	203.208.39.89
r8---sn-2x3eln76.gvt1.com	203.208.39.90
r9---sn-2x3eln76.gvt1.com	203.208.39.91
r10---sn-2x3eln76.gvt1.com	203.208.39.92
r11---sn-2x3eln76.gvt1.com	203.208.39.93
r12---sn-2x3eln76.gvt1.com	203.208.39.94
r13---sn-2x3eln76.gvt1.com	203.208.39.95
r14---sn-2x3eln76.gvt1.com	203.208.39.96
r15---sn-2x3eln76.gvt1.com	203.208.39.97
r16---sn-2x3eln76.gvt1.com	203.208.39.98
r17---sn-2x3eln76.gvt1.com	203.208.39.99
r18---sn-2x3eln76.gvt1.com	203.208.39.100

r1---sn-2x3eln7d.gvt1.com	203.208.39.147
r2---sn-2x3eln7d.gvt1.com	203.208.39.148
r3---sn-2x3eln7d.gvt1.com	203.208.39.149
r4---sn-2x3eln7d.gvt1.com	203.208.39.150
r5---sn-2x3eln7d.gvt1.com	203.208.39.151
r6---sn-2x3eln7d.gvt1.com	203.208.39.152
r7---sn-2x3eln7d.gvt1.com	203.208.39.153
r8---sn-2x3eln7d.gvt1.com	203.208.39.154
r9---sn-2x3eln7d.gvt1.com	203.208.39.155
r10---sn-2x3eln7d.gvt1.com	203.208.39.156
r11---sn-2x3eln7d.gvt1.com	203.208.39.157
r12---sn-2x3eln7d.gvt1.com	203.208.39.158
r13---sn-2x3eln7d.gvt1.com	203.208.39.159
